Japanese;US English;French;German;
"ちぇ…おもしろいのになあ…。";"Bah! You're no fun...";"Bah! Vous n'êtes pas drôles!";"Pah! Was seid ihr
doch für Versager...";
"はーい そこまで！
おつかれさーん！！
じゃあ　何匹たたいたかな…？";"And...STOP!
Nicely done, everyone!!
Let's count some moles...";"Et... STOP!
Bien joué!
Comptons les taupes...";"Und... STOPP!
Gut gemacht, ihr alle!!!
Zählen wir die Sandgolems.";
"Ｐさんは　匹！
すごいじゃないか！
ごほうび　フォースだ！！";"P hit !
Not too shabby!
You win !";"J a écrasé !
Pas mal!
Tu gagnes
!";"SP traf !
Gar nicht so schlecht!
Du gewinnst
!";
"Ｐさんは　匹！
なかなか　やるな！
ごほうび　フォースだ！！";"P hit !
That's not bad!
You win !";"J a écrasé !
C'est bien!
Tu gagnes
!";"SP traf !
Das ist okay!
Du gewinnst
!";
"Ｐさんは　匹。
うーん　がんばれよ…。
ごほうびは　フォースだ。";"P hit .
Hmm... Better luck next time.
You win .";"J a écrasé .
Tu peux mieux faire!
Tu gagnes
.";"SP traf .
Nächstes Mal hast
du mehr Glück.
Du gewinnst
.";
"ラスト１０秒！　ボーナスタイム！";"Ten seconds left! Bonus time!";"Encore 10 secondes!
Temps bonus!";"Noch zehn Sekunden!
Extrazeit!";
"じゃあ　ここで
逆転のチャンスを　あげよう！
そ～ら！";"Here's your chance to
make a big comeback!
And GO!";"Maintenant, profitez-en
pour augmenter vos gains!
C'est parti!";"Und nun eure Chance auf
eine fulminante Revanche!
Und... LOS!";
"また　いつでもどうぞ！
かわいい　モグラさんが
待ってるよ！";"Come back anytime!
These cute little moles will
be waiting!";"Revenez quand vous voulez!
Les taupes vous attendent
de pied ferme!";"Kommt jederzeit wieder!
Diese niedlichen
Sandmänner erwarten euch!";
"よっしゃ　それじゃあ
１００フォース　いただくよ………。
せいぜい　がんばってくださいよ！
それでは…　ヨーイ スタート！";"OK then, that'll be
100 Force Gems.
Do your best, everyone!
Ready...set...GO!";"Bien, ça fait donc
100 Gemmes de Force.
Faites de votre mieux!
Prêts? Partez!";"OK then, that'll be
100 Force Gems.
Do your best, everyone!
Ready...set...GO!";
"あらら、お金 ないじゃん…。
帰った、帰った！";"Hey! You don't have enough
Force Gems! Move along,
move along!";"Hey! You don't have enough
Force Gems! Move along,
move along!";"Hey! You don't have enough
Force Gems! Move along,
move along!";
"はーい おつかれさーん！ 
おお、３０匹以上
たたけたね！
はい、しょうきん５００フォース！";"And...STOP! 
Whoa! You hit more
than 30 moles!
You win 500 Force Gems!";"Et... STOP! 
Ouah! Une trentaine de
taupes!
Tu as gagné 500
Gemmes de Force!";"And...STOP! 
Whoa! You hit more
than 30 moles!
You win 500 Force Gems!";
"あらら、ダメダメっすね…。
こんど　がんばってね！";"Oh, no. That's no good...
Better luck next time!";"Oh, no. That's no good...
Better luck next time!";"Oh, no. That's no good...
Better luck next time!";
"はーい そこまで！
おつかれさん！！
さあ ゆうしょうしゃは…？
おおっと　同点が　いますね！
ごほうび５００フォースは
きんとうに　分配されます！";"And...STOP!
Nice work, everyone!!
The winner is... Huh?
What's this? We have a tie!
Here's 500 Force Gems to
split between the winners.";"Et... STOP!
Bien joué!
Et le gagnant est... Hein?
Il y a deux joueurs ex-æquo!
Voici 500 Gemmes de Force
à vous partager.";"Und... STOPP!
Gute Arbeit, ihr alle!!!
Und der Sieger ist... Häh?
Was ist das? Gleichstand!
500 Force-Kristalle, die
sich die Gewinner teilen!";
"マイドォ！
ここは　お宝ザクザク
ヒ・ミ・ツのスポットでっせ！
お宝サーチシステム　とうさい
新型シャベル「スコーピオンＳ」で
金持ちに　なったらええ！
しかも、ゴッツかせいだ男前には
出血　大サービス！
このシャベル　やろうやないか！
さあ、金持ちになるためやったら
ワテに１００フォース　はらうくらい
たいしたこと　ないやろ？！
ほれっ、はやいこと
１００フォース　ださんかいや！
は　い　いいえ";"Welcome!
You've found the secret
treasures-aplenty spot!
With the new Scorpion S
treasure-hunting shovel,
you'll be rich in no time!
I think I'll give you
my extra-special cutie
discount, too!
What do you say? You have
to spend money to make
money!
C'mon now! It's only
100 Force Gems, after all!
Yes No
";"Welcome!
You've found the secret
treasures-aplenty spot!
With the new Scorpion S
treasure-hunting shovel,
you'll be rich in no time!
I think I'll give you
my extra-special cutie
discount, too!
What do you say? You have
to spend money to make
money!
C'mon now! It's only
100 Force Gems, after all!
Yes No
";"Welcome!
You've found the secret
treasures-aplenty spot!
With the new Scorpion S
treasure-hunting shovel,
you'll be rich in no time!
I think I'll give you
my extra-special cutie
discount, too!
What do you say? You have
to spend money to make
money!
C'mon now! It's only
100 Force Gems, after all!
Yes No
";
"ほんだら　説明するで。
とりあえずな、お宝に近づいたら
そのＧＢＡから 音がなるねん。
それをたよりに そのまわりの土を
シャベルで　ほるわけや。
そしたら　お宝ゴッツい　でるねん！
時間は　１分しかないで、
タイム イズ マネー
っちゅうやっちゃ！
ほな、レディ…";"OK, listen up. If you're near
any treasure, your Game Boy
Advance will make a noise.
When you hear it, start
digging! You'll find more
stuff than you can imagine!
You've only got a minute
though, so don't dawdle.
Time is money!
Get ready...";"OK, listen up. If you're near
any treasure, your Game Boy
Advance will make a noise.
When you hear it, start
digging! You'll find more
stuff than you can imagine!
You've only got a minute
though, so don't dawdle.
Time is money!
Get ready...";"OK, listen up. If you're near
any treasure, your Game Boy
Advance will make a noise.
When you hear it, start
digging! You'll find more
stuff than you can imagine!
You've only got a minute
though, so don't dawdle.
Time is money!
Get ready...";
"うわっ　せつないわぁ…。
こんな　ええはなし
もう　いっしょう　ないで？
ほんま　しらんで、ええのん？";"Oh, how disappointing...
You'll never hear another
story as good as this one.
You gonna deprive yourself?";"Oh, how disappointing...
You'll never hear another
story as good as this one.
You gonna deprive yourself?";"Oh, how disappointing...
You'll never hear another
story as good as this one.
You gonna deprive yourself?";
"おーい、またんかいワレ！
おわり、おわりや！
どや、おたから　ごつかったやろ？
そんなら　いちばんようけ　
かせいだ　あんちゃんには
そのシャベルやるわ！
これからも　どんどん
ほって　ほって　ほりまくって
かねもちに　なってくれ！";"Whoa! Hold it right there!
Time's up! Time really flies
when you're diggin' for loot!
My! You sure found a lot of
treasure, didn't you?
Tell you what--since you dug
up the most, I'm going to let
you keep the shovel!
So keep on digging, and
dig yourself a mighty
fortune, you hear?!";"Whoa! Hold it right there!
Time's up! Time really flies
when you're diggin' for loot!
My! You sure found a lot of
treasure, didn't you?
Tell you what--since you dug
up the most, I'm going to let
you keep the shovel!
So keep on digging, and
dig yourself a mighty
fortune, you hear?!";"Whoa! Hold it right there!
Time's up! Time really flies
when you're diggin' for loot!
My! You sure found a lot of
treasure, didn't you?
Tell you what--since you dug
up the most, I'm going to let
you keep the shovel!
So keep on digging, and
dig yourself a mighty
fortune, you hear?!";
"なんやて？　もう一回　やて？？
あんたなぁ…、そら　むしが
よすぎるっちゅうもんやで…。";"What's that? You wanna try
again?!? OK, now you're
being a Greedy Goron.";"What's that? You wanna try
again?!? OK, now you're
being a Greedy Goron.";"What's that? You wanna try
again?!? OK, now you're
being a Greedy Goron.";
"うっそーん！
マジで　いうてんの？
１００フォースも　持ってへんの？！
あー　そりゃあ　アカンでー。
１００フォースも　持ってへんくせに
金持ちになろうなんて
そんなん　あつかましいねん。
でなおして　こんかい！";"No way! You gotta be joking!
You seriously don't
have 100 Force Gems?
All right, we're done here.
How you gonna get rich if
you can't even scrape
together 100 Force Gems?
Come back when you're
ready to get serious!";"No way! You gotta be joking!
You seriously don't
have 100 Force Gems?
All right, we're done here.
How you gonna get rich if
you can't even scrape
together 100 Force Gems?
Come back when you're
ready to get serious!";"No way! You gotta be joking!
You seriously don't
have 100 Force Gems?
All right, we're done here.
How you gonna get rich if
you can't even scrape
together 100 Force Gems?
Come back when you're
ready to get serious!";
"フォースと　縁があるか
試してみるかい？
はい　いいえ";"You wanna see if you've got
connection to Force Gems
or not?
Yes No";"Tu veux savoir si tu
as l'œil pour repérer
les Gemmes de Force?
Oui Non";"Willst du wissen, ob du
ein gutes Auge für
Force-Kristalle hast?
Ja Nein";
"そうか。
では　これから　外に
フォースを　だしてやろう。
お前には　１０本の　矢を
あたえる。
弓を使い、矢を　うちなされ。
フォースに　あてることができれば
それは　お前のものとなる。
では…　はじめ！";"I see.
Then let me spread some
Force Gems around outside.
I'll give you ten arrows.
You shoot 'em with your
bow.
Any Force Gems you hit
are yours to keep.
Ready... START!";"Je vois...
Je vais lancer des Gemmes
de Force.
Je te donne dix flèches
à tirer avec ton arc.
Toutes les Gemmes touchées
sont à toi.
Prêt? Partez!";"Verstehe. Dann verteile
ich draußen mal ein
paar Force-Kristalle.
Ich gebe dir zehn Pfeile.
Schieße sie mit deinem
Bogen ab.
Alle Force-Kristalle, die
du triffst, gehören dir.
Fertig? LOS!";
"ならば　用はない。
とっとと　お帰り！";"Then you're wastin' my time.
G'wan, get outta here!";"Tu me fais perdre mon
temps. Allez, du balai!";"Warum verschwendest du
dann meine Zeit? Los, raus!";
"そこまでじゃよ！
…どうだね　フォースとの
縁を　感じたかね…？
クックック…。";"That's it! All done!
So? Did you feel a deep
connection with the Force
Gems? Ha ha ha...";"Et voilà! C'est fini!
Alors? Tu as l'œil pour
les Gemmes de Force?
Ha ha ha...";"Das war's! Aus und vorbei!
Und? Hattest du die
Force-Kristalle immer gut
im Auge? Ha ha ha!";
"おまえさんは　もう
挑戦したじゃろう。
そう　欲張るでない！";"Hey, you've already had
your shot at this!
Don't be so greedy!";"Hé, tu as déjà essayé!
Ne sois pas si gourmand!";"He, du hast hier schon
dein Pulver verschossen!
Sei nicht so gierig!";
"フォースの精だ！　倒れたリンクに力をくれる！";"A Force Fairy! They can
revive the fallen Links!";"Une Fée de Force! Elles
peuvent ressusciter Link!";"Eine Force-Fee! Sie erweckt
gefallene Links zum Leben!";
"フォースの精　×　";"Force Fairy x ";"Fée de Force x ";"Force-Fee x ";
"さあ、まいりましょう！";"Let's go!";"C'est parti!";"Gehen wir!";
"デスマウンテンにはゴロンという
岩の種族がいます。
あなたのように　仲間と力を合わせ、
山を守り続けている者たちです。
きっと力になってくれるでしょう。";"There's a tribe of rock folk
called Gorons living on
Death Mountain.
Like you, they're working to
protect their home. I'm sure
they'll come to your aid.";"Les Gorons, des
êtres de pierre, vivent dans
la Montagne de la Mort.
Comme toi, ils se battent
pour protéger les leurs.
Ils t'accueilleront
à bras ouverts.";"Es gibt einen Stamm von
Felsleuten, die Goronen. Sie
leben auf dem Todesberg.
Wie du, wollen sie ihre
Heimat beschützen. Sicher
werden sie dir helfen.";
"騎士たちのことも
何か　手がかりがあれば
よいのですが…。";"Hopefully, we'll uncover a
clue about the knights, too.";"J'espère que nous
obtiendrons des informations
sur les chevaliers, aussi.";"Hoffentlich erhalten wir
auch einen Hinweis auf die
Ritter!";
"あの森は、大きな光の力を
持っています。
その森が　たやすく
暗黒に　しずんでしまうなどとは、
私には　考えられないのです…。
もし暗黒に　おおわれているならば
何か理由があるはずです。
とても強大な　何かが…。";"That forest is empowered
with the strength of light.
I cannot imagine that it
would be overwhelmed so
easily by the darkness...
If the darkness smothers the
light, there must be a
reason. Some mighty force...";"Cette forêt respire
par la force de la Lumière.
Jamais je n'aurais cru
qu'elle se ferait absorber
par les Ténèbres...
Si les Ténèbres masquent
la Lumière, c'est qu'il y a
une raison...
Ou une force terrible...";"Diesem Wald wohnt die
Kraft des Lichts inne.
Ich kann mir nicht
vorstellen,
dass die Finsternis
ihn so einfach verschlingt...
Wenn Dunkelheit das Licht
bedrängt, dann gibt es
dafür einen Grund.
Eine große Macht...";
"ゲルド族は、砂漠をうやまい
ともに　助け合いながら
くらしています。
とても　心が美しく、
しんらいできる者たちですから
その中に闇の王など…。";"The Gerudo honor the desert.
They are trustworthy and
pure of heart.
I cannot imagine one of them
is the King of Darkness...";"Les Gerudo vénèrent le
désert. Leur cœur est pur
et digne de confiance.
Je ne peux pas croire
que le Roi des Ténèbres
soit l'un des leurs...";"Die Gerudos verehren die
Wüste. Sie sind verlässlich
und haben ein gutes Herz.
Es ist unvorstellbar, zu
denken, einer von ihnen
könnte...
Der König der Finsternis
sein!";
"さあ、まいりましょう！";"Come on! Let's go!";"Allez! On y va!";"Los! Gehen wir!";
"宿ったフォースが　妖精に姿を変える！";"The Force Gems transformed
into fairies!";"Les Gemmes de Force se
sont transformées en fées!";"Die Force-Kristalle verwan-
delten sich in Force-Feen!";
"おや、外に　仲間が
いるんじゃないのかね？
仲間も　みんな　そろって
ここへ　きなされ。";"Hey, you have companions
waiting for you outside.
Gather them and come here.";"Hé, il y a du monde dehors.
Il faut les rassembler
et revenir.";"He, deine Kumpel warten
draußen auf dich.
Sammel sie ein und komm
dann wieder her.";
"";"";"";"";
"フォフォフォ…。
お若いの、巨人の群れに
お困りかな…？
この世には　我ら魔導師によって
強大な　魔法が　かけられた
２種類の　メダルが　ある。
それは　一瞬にして、
凶悪な魔物の姿を変えたり、
消したりする　魔法…。
そのうちの　ひとつが
そこの　宝箱に　しまってある。
ワシが　魔法をかけたものじゃ。
よかったら　お使いなされ…。　　";"Oh ho ho ho...
Such youth... Troubled
by the giants, are you?
We magic users have
enchanted two types
of medallion.
These medallions instantly
alter the shape of an evil
presence or make it vanish.
One of these medallions
is in that treasure chest
there.
It's one that I enchanted
myself. You may use it if
you like.";"Oh ho ho ho...
Comme tu es jeune...
Et déjà aux prises
avec les géants, hein?
Nous, qui faisons usage de
la magie, avons enchanté
deux types de médaillons.
Ces médaillons modifient
instantanément la forme
de toute présence maléfique.
Ou la font disparaître.
L'un des ces médaillons se
trouve dans ce coffre
au trésor, là.
Je l'ai enchanté moi-même.
Tu peux l'utiliser,
si tu veux.";"Oh! Ho ho...
So jung... Und schon Ärger
mit den Riesen, nicht?
Wir, die wir zaubern
können, haben zwei Arten
von Medaillons erschaffen.
Die Medaillons können das
Böse verwandeln oder
es verschwinden lassen.
Eines dieser Medaillons
befindet sich in dieser
Schatztruhe dort.
Ich habe es selbst
erschaffen. Du darfst es
benutzen, wenn du willst.";
"この先、同じような　メダルを
目にすることがあるじゃろう。
旅の役に立つじゃろうから
見かけたら　お使いなされ…。";"You may encounter other
medals like this one at
some point.
They will prove useful on
your journey, so take them.";"Tu rencontreras d'autres
médaillons comme celui-ci.
Ils te seront utiles,
alors prends-les.";"Vielleicht findest du
irgendwo ähnliche
Medaillons wie dieses.
Sie sind sehr hilfreich,
also nimm sie ruhig.";
"フォッフォッフォ！
とうとう…とうとう　でけた！
ワシの　長年の　ユメ…
動く家　！！！
かるいながらも　じょうぶな
めずらしい　材料で
できておるのじゃ！
しかも　火事だって
ぜんぜん　平気！
ぜったい　もえんぞ！
ほれ、おまえさんも　どうじゃ？
４人そろって
外から　かべを　押せば
家が　うごくぞい！
じゃが　ゆいいつの　欠点は
かぐを置くと　重くなって
うごかせなくなる　ことじゃ…。
じゃから　家の中には
なーんも　置けん…。";"Oh ho ho ho!
At last, at last!
I've done it!
My lifelong dream...
A moving house!!!
It's made of a special
light, yet sturdy, wood!
And fire poses no threat
at all! It's absolutely,
completely fireproof!
Go on and try it! The four
of you, step outside and
push the house. It'll move!
There's one problem, though.
Fill the house with
furniture and it becomes
too heavy to budge.
That's why I've had to leave
it entirely empty. It's a
bit stark, but I like it!";"Oh ho ho ho!
Enfin! J'ai enfin réussi!
Le rêve de toute une vie...
Une maison mobile!!!
Elle est faite d'un bois
aussi résistant que léger...
Et ininflammable!
Cette maison ne craint
pas le feu...
Vas-y! Sors et pousse
la maison: elle bougera!
Mais il y a un problème.
Si on meuble la maison,
elle devient trop lourde....
C'est pourquoi je la laisse
vide. C'est un peu austère,
mais j'aime bien!";"Oh! Ho ho ho!
Schließlich und endlich!
Es ist mir gelungen!
Mein Traum wurde wahr...
Ein bewegliches Haus!!!
Es ist aus besonders
leichtem und zugleich
robustem Holz gebaut!
Und es ist vollkommen
feuerfest!
Na los! Geht mal raus
und schiebt es, ihr vier!
Es wird sich bewegen!!!
Nur eins ist wirklich dumm.
Mit Möbeln ist das Haus
vollkommen unbeweglich.
Deshalb ist die Einrichtung
so spartanisch - um nicht
zu sagen nicht existent!
Aber mir gefällt es!";
"ほれほれ！
思う存分　動かして
原っぱを　かけまわってみぃ！";"Test it out! Move it around
this empty field! Shove it
to your heart's delight!";"Essaye! Déplace-la!
Donne-t'en à cœur joie!";"Schiebt es doch mal über
das Feld hier! Schiebt,
was das Zeug hält!";
"おやおや、好き放題
動かしてくれたもんじゃ。
まったく　うらやましいわい！
…なんで　ひとりで　押せるように
つくらなかったんじゃ。
返す返すも　残念じゃ…。";"Well now, I see you've
pushed it about a bit.
I'm quite jealous!
But why didn't I build it so
one person could move it?
What terrible planning...";"Voilà! Tu as réussi à la
déplacer un peu...
Je suis presque jaloux!
Mais... j'aurais préféré
qu'une personne seule
puisse la déplacer...
Ce n'est pas tout à fait
ce que je voulais...";"Ja, ihr habt wirklich ganze
Arbeit geleistet. Ich bin
ganz neidisch!
Tja, schlechte Planung!
Warum habe ich es nicht so
konstruiert, dass ein
Mann zum Schieben reicht?";
"あら…？
女の子が　一人で
一体　どうしたんでしょう…？
こんなところに　いたのでは
魔物におそわれてしまい
とても　危険です。
リンク、
声をかけてみませんか？";"Hm? What's that girl doing
out there all by herself?
Link, please, you must
speak with her!
If she stays out there
alone, she's bound to
be attacked!";"Eh bien? Que fait cette
fillette dehors, toute seule?
S'il te plaît,
va lui parler!
Si elle reste seule comme ça,
elle va se faire attaquer!";"Hm? Was macht denn das
Mädchen so ganz allein
hier draußen?
Link, bitte rede mit ihr!
Sie wird bestimmt von
Monstern angegriffen, wenn
du ihr nicht hilfst!";
"";"";"";"";
"";"";"";"";
"どろろろろ…。
オマエも　戻らずの洞窟に
迷いこんだ　のかー…？
生きて　戻りたければ
なが～い　レバーを
ひっぱれー…。
Ｒボタンでつかんだまま　↓にひくー
まっすぐ　並んで　つかみあい…。
これ　ジョウシキ…。
オラは　ひとりぼっちだから
できなかったー…。
ひとりぼっちで　死んだー…。";"OoooOOooo...
So you've wandered into this
cave of no return, too, eh?
If you want to escape alive,
you must pull a long lever.
Grab it with the R Button,
then line up this way 
and pull.
That's just common sense.
I was all alone, though,
so I couldn't do it...
I died all alone...";"OoouuOoouu...
Tu n'as pas non plus
résisté à l'appel de la
Grotte des Ames perdues?
Pour en sortir vivant,
il faut tirer
une poignée.
Attrape-la avec le bouton R,
mets-toi en rang comme ça 
avec tes amis et tire-la.
C'est simple.
Moi, j'étais seul, alors
je n'ai pas pu le faire...
J'ai rendu l'âme seul...";"Buuuhhh, buhuu... Duhuhu
bist also auch in der Höhle
der Verdammnis gelandet.
Willst du hier lebend raus,
dann finde einen langen
Hebel und ziehe daran.
Bilde eine Schlange, greife
ihn mit der R-Taste
und dann ziehe nach !
Macht Sinn, nicht?
Ich war allein und habe
es nicht geschafft...
Einsam war mein Ableben...";
"どろろろろ…。
生きて　戻りたければ
なが～い　レバーを
ひっぱれー…。
Ｒボタンでつかんだまま　↓にひくー
ひっぱる　ヤツを　さらに　ひくー
みんなで　ぞろぞろ　つかみあい…。
これ　ジョウシキ…。
オラは　ひとりぼっちだから
できなかったー…。
ひとりぼっちで　死んだー…。
こきょうの　両親に
よろしくー…。
どろろろろ…。";"OoooOOooo...
If you want to escape alive,
you must pull a long lever.
Grab it with the R Button,
then line up this way 
and pull.
That's just common sense.
I was all alone, though,
so I couldn't do it...
I died all alone...
If you see my children
back home, be sure to
say hello... OoooOOoo...";"OoouuOoouu...
Pour en sortir vivant,
il faut tirer
une poignée.
Attrape-la avec le bouton R,
mets-toi en rang comme ça 
avec tes amis et tire-la.
c'est logique.
Moi, j'étais seul, alors
je n'ai pas pu le faire...
J'ai rendu l'âme seul...
Si tu vois mes enfants,
en rentrant, embrasse-les
de ma part...
OoouuOoouu...";"Buuuhhh, buhuu... Duhuhu
bist also auch in der Höhle
der Verdammnis gelandet.
Willst du hier lebend raus,
dann finde einen langen
Hebel und ziehe daran.
Bilde eine Schlange, greife
ihn mit der R-Taste
und dann ziehe nach !
Macht Sinn, nicht?
Ich war allein und habe
es nicht geschafft...
Einsam war mein Ableben...
Wenn du meine Kinder
daheim siehst, dann grüße
sie von mir... Buuuhhh...";
"グハハハハハ！
弱い！　もろい！
なんと非力なことよ！
勇者とやら、思い知るがいい！
お前のような小僧が
束になってかかろうとも、
このトライデントの前には、
すべてが打ちくだかれるのだと！！";"Gwah haa haaaa!
Weaklings! Incompetent
fools!
You so-called heroes do
not stand even a gnat's
chance of harming me!
Even if you worms attack
in a group,
I will skewer the lot of
you on my mighty trident!!";"Mouah haa haaaa!
Minable!
Incompétent!
Tu te prends pour
un héros alors que tu
n'es que poussière!
Même si vous m'attaquez
en force, toi et les tiens,
je vous embrocherai
avec mon trident,
tous autant que vous êtes!";"Aah haa haaaa!
Ihr Schwächlinge! Ihr
hirnlosen Waschlappen!
Helden wollt ihr sein?
Ihr habt doch keine
Chance gegen mich!
Selbst wenn ihr Gewürm
als Gruppe angreift,
werde ich euch auf einen
Streich mit meinem Dreizack
durchbohren!!!";
"ちょっと、あんた！
オバちゃんのダイエットの
手伝いを　やらないかい？
オバちゃん、ボールダイエットを
やりたいんだけど　一人じゃあ
できなくて　こまってんだよ！
オバちゃんが投げたボールを
はねかえしてくれるだけで
いいんだから　かんたんだろ？
あんたが　うまいこと１０回以上
ボールを　はねかえしてくれたら
おだちんだって　あげるよ！
どうだい、おいしいバイトだろ？
ちょっと　やっておいき！
はい　いいえ";"Hold on a moment, you!
Won't you help an old lady
with her diet?
I'm trying to do that Ball diet
everyone's on these days,
but I can't do it on my own!
All I need you to do is
deflect the balls I toss
at you. It's simple.
If you're good and deflect
10 or more balls, I'll give
you a tip!
Well? You can't resist, can
you? Give it a try!
Yes No";"Hold on a moment, you!
Won't you help an old lady
with her diet?
I'm trying to do that Ball diet
everyone's on these days,
but I can't do it on my own!
All I need you to do is
deflect the balls I toss
at you. It's simple.
If you're good and deflect
10 or more balls, I'll give
you a tip!
Well? You can't resist, can
you? Give it a try!
Yes No";"Hold on a moment, you!
Won't you help an old lady
with her diet?
I'm trying to do that Ball diet
everyone's on these days,
but I can't do it on my own!
All I need you to do is
deflect the balls I toss
at you. It's simple.
If you're good and deflect
10 or more balls, I'll give
you a tip!
Well? You can't resist, can
you? Give it a try!
Yes No";
"おーい、ちょっと、あんたたち！
オバちゃんのダイエット
手伝っておくれよ！
オバちゃん、ボールダイエットを
やりたいんだけど　一人じゃ
できなくて　こまってんだよ！
アンタたちも　一緒にどうだい？
はい　いいえ";"Hold on a moment, you!
Won't you help an old lady
with her diet?
I'm trying to do that Ball diet
everyone's on these days,
but I can't do it on my own!
Will you try it with me?
Yes No";"Eh, vous!
Vous ne voudriez pas aider
une vieille dame?
Je voudrais faire quelque
chose pour ma ligne...
J'ai besoin d'exercice!
J'ai beaucoup entendu parler
de ce jeu de balle,
mais seule, c'est impossible!
Vous le faites avec moi?
Oui Non";"He, du da!
Willst du einer netten Dame
nicht bei ihrer Diät helfen?
Ich probiere gerade diese
neumodische Ball-Diät aus,
aber allein geht das nicht!
Willst du mir helfen?
Ja Nein";
"なんだい、ナマイキだね！
そんなんじゃ　ロクな
オトナになれないよ、アンタ！";"What poor manners! You need
to learn some manners before
you grow up, young man!";"Bande de rustres!
Où avez-vous appris
les bonnes manières!";"Wie ungehobelt! Du musst
noch sehr viel lernen,
junger Mann!";
"そうかい、やってくれるかい！
じゃあ　今から１分間
やろうじゃないのさ！
途中で　弱音をはくんじゃないよ！
オバちゃんが　色のついたボールを
なげるから　同じ色のぼうやが
剣で　打ち返しておくれ！
みんなで　協力して
ラリーを　続けるんだよ！
ほい！
じゃあ　オバちゃんからいくよ。
オバちゃんの　たまを
うけてごらんっ…！";"Really? You'll help?
We'll be doing it for one
whole minute! Don't you dare
quit before we're done!
I'll toss a colored ball,
and whoever's wearing the
same color will hit it back!
It'll take a little teamwork
to get a good volley going,
but it'll be fun, I promise!
OK! I'll get us started.";"Ah oui? Vous voulez bien?
Il faut tenir une minute!
N'abandonnez pas en route!
Je vais lancer une balle
de couleur.
Celui qui porte la même
couleur doit la renvoyer.
Pour y arriver, il faut
un bon esprit d'équipe.
Vous allez vous amuser!
Bien. Allons-y!";"Wirklich? Du hilfst mir?
Es dauert nur eine Minute!
Du musst exakt eine Minute
lang durchhalten!
Ich werfe einen farbigen
Ball, und wer dieselbe Farbe
trägt, passt ihn weiter!
Und mit etwas Teamwork
ist unser Zuspiel so gut,
dass wir ein paar komplette
Runden schaffen! Das wird
lustig! O.K. Fangen wir an!";
"ほい！
じゃあ　オバちゃんからいくよ。
オバちゃんの　たまを
うけてごらんっ…！";"OK!
I'll get us started.
C'mon, boys! See if you
can return my volleys!";"OK!
I'll get us started.
C'mon, boys! See if you
can return my volleys!";"OK!
I'll get us started.
C'mon, boys! See if you
can return my volleys!";
"そこまでっ！";"All done!";"Et voilà!";"Fertig!";
"あいよ、おつかれさん！
回か…
新記録　たっせいだよ！
これだけ　運動したんだから
オバちゃんも　だいぶスリムに
なったんじゃないかい？
がんばってくれた　お礼に
オバちゃん　フォース
フンパツしちゃうよ！
みんなで　仲良くわけるんだよ！
…だけど　ミスの多かった
ぼうやには　やらないよ！
…なに？
だれが　ミスが多かったかって？
…あんた　だよ！！";"OK! That's it, boys!
?
That's a new record!
With all that moving about,
I believe this old gal's a
bit thinner!
For your help, I'll set up a
little Force Gem fountain!
Now, be fair and split them
evenly amongst yourselves.
Except for the one with the
most misses. You get nothing!
What?
Who had the most misses?
You did, of course!!";"C'est bon, mes garçons!
?
Vous avez battu le record!
Tout cet exercice me fait
le plus grand bien!
Pour vous remercier, je vais
créer une petite fontaine
de Gemmes de Force.
Et répartissez-les
équitablement entre vous.
Seul le perdant n'aura rien!
Comment?
Qui a perdu?
Mais toi, bien sûr!";"O.K.! Das war's, Jungs!
?
Das ist ein neuer Rekord!
Bei so viel Bewegung hat
das alte Mädchen sicher
einiges abgenommen!
Für eure Hilfe gibt es eine
kleine Force-Fontäne!
Seid lieb zueinander und
teilt sie gleichmäßig auf.
Bis auf die Niete mit den
meisten Fehlpässen!
Die bekommt gar nichts!
Was? Du fragst, wer die
meisten Fehlpässe hatte?
Na, du natürlich!!";
"あいよ、おつかれさん！
回か…
記録には　およばずだね。
まあ　少しは　運動になったから
やくそくどおり　フォースは
あげるよ。
みんなで　仲良くわけるんだよ！
…だけど　ミスの多かった
ぼうやには　やらないよ！
…なに？
だれが　ミスが多かったかって？
…あんた　だよ！！";"OK! That's it, boys!
? That's not
enough to break the record!
Still, I think I can give
you boys a few Force Gems
for the effort.
Now, be fair and split them
evenly amongst yourselves.
Except you!
You missed too many!
What?
Who had the most misses?
You did, of course!";"C'est bon, mes garçons!
? Vous n'avez pas
battu le record!
Mais vous méritez bien
quelques Gemmes de Force...
Et répartissez-les
équitablement entre vous.
Mais toi, tu n'en auras pas!
Tu as été trop mauvais!
Comment?
Qui a perdu?
Mais toi, bien sûr!";"O.K.! Das war's, Jungs!
? Das ist zu wenig,
um den Rekord zu brechen!
Aber für eure Mühen gebe
ich euch trotzdem ein paar
Force-Kristalle.
Also, seid lieb und teilt
sie gerecht unter euch auf.
Bis auf die Niete mit
den meisten Fehlpässen!
Was? Du fragst, wer die
meisten Fehlpässe hatte?
Na, du natürlich!";
