Japanese;US English;French;German;
"• 買う
• やめておく";"• Buy
• Quit";"• J'achète.
• Une autre fois.";"• Kaufen.
• Nicht kaufen.";
"まいどあり！　ゴロ！";"Greetings again, Brother!";"Merrci beaucoup!";"Herzlichen Dank!";
"カンテラの油は　２０ルピーゴロ、
買ってくゴロ？";"Lantern oil is 20 Rupees. Are you
buying, Brother? ";"L'huile à lanterrne coûte 20
rrubis, vous en voulez? ";"Lampenöl kostet 20 Rubine.
Willst du welches? ";
"カンテラの油は２０ルピーゴロ
ルピー足りないなら　売れないゴロ！";"Lantern oil is 20 Rupees. If you do not
have the Rupees, Brother, then you
will not have the oil!";"L'huile à lanterrne coûte 20 rrubis
et pas un de moins!";"Lampenöl kostet 20 Rubine.
Wenn du zu wenig Rubine hast,
kann ich dir keins verkaufen.";
"空きビンか、油の減ったカンテラがないと
油を注げないゴロ～ッ！";"I cannot pour you any oil unless you
have an empty bottle or a lantern that
is not full, Brother!";"Il vous faut un flacon vide
ou une lanterrne avec la rréserrve
entamée!";"Wenn du keine leere Flasche oder
Lampe hast, wo willst du das Öl
dann aufbewahren?!?";
"まだ油が残ってるけど満タンにするゴロ？
値段は２０ルピーのまんまだけど・・・";"You still have some oil left, but do you
want to fill up anyway? The price is
still 20 Rupees, but... ";"Il vous rreste de l'huile mais
je peux rremplirr votrre rréserrve.
Ça coûterra toujourrs 20 rrubis.";"Da ist noch Öl in der Lampe. Soll
ich sie wirklich auffüllen?
Kostet aber trotzdem 20 Rubine... ";
"ミルクは　ビンに満タン２回分で
２０ルピーゴロ、買ってくゴロ？";"Milk is 20 Rupees for two servings.
Are you buying, Brother? ";"Les 2 gorrgées de lait coûtent
20 rrubis, vous en voulez? ";"Eine ganze Flasche Milch, also zwei
Portionen, kostet 20 Rubine.
Willst du? ";
"ミルクは　２０ルピーゴロ、
ルピー足りないなら　売れないゴロ！";"Milk is 20 Rupees for two servings.
If you do not have the Rupees,
Brother, then you will not have the
milk!";"Les 2 gorrgées de lait coûtent
20 rrubis et pas un de moins!";"Milch kostet 20 Rubine. Wenn du
zu wenig Rubine hast, kann ich sie
dir nicht verkaufen.";
"ミルクは　空きビンがないと
売れないゴロ～ッ！";"I cannot sell you milk unless you have
an empty bottle, Brother!";"Je ne peux pas vous vendrre de lait
si vous n'avez pas de flacon vide!";"Wenn du keine leere Flasche hast,
kann ich dir auch keine Milch
verkaufen...";
"まいどあり！　ゴロ！
じゃあ空きビンにミルクを入れるゴロ！";"Greetings again, Brother! Let me fill
your bottle with milk!";"Merrci beaucoup! Laissez-moi
rremplirr votrre flacon...";"Danke für den Einkauf!
Dann fülle ich die Milch gleich
in deine Flasche...";
"まいどあり！　ゴロ！
じゃあ空きビンに油を入れるゴロ！";"Greetings again, Brother! Let me fill
your empty bottle with oil!";"Merrci beaucoup!
Voici votrre huile...";"Danke für den Einkauf!
Dann fülle ich das Öl gleich
in deine Flasche...";
"まいどあり！　ゴロ！
じゃあカンテラに油を入れるゴロ！";"Greetings again, Brother! Let me fill
your lantern with oil!";"Merrci beaucoup!
Je rremplis votrre lanterrne...";"Danke für den Einkauf!
Dann fülle ich das Öl gleich
in deine Lampe...";
"また温泉に来たついでにでも
寄ってほしいゴロ！";"Stop by whenever you visit the hot
spring, Brother!";"Si vous rrepassez dans le coin,
même simplement pourr un bain,
rrevenez nous voirr!";"Wenn du wieder in die Therme
kommst, schau gerne noch einmal
bei mir vorbei!";
"商品は[AnalogRight] 🡆 で見てくれゴロ！";"Try [AnalogRight] 🡆  to see the merchandise,
Brother!";"Vous pouvez rregarrder 
les marrchandises avec [AnalogRight] 🡆 ! ";"Das Sortiment kannst du mithilfe
von [AnalogRight] 🡆  ansehen. ";
"木の盾は　５０ルピーゴロ、
買ってくゴロ？";"A wooden shield costs 50 Rupees,
Brother. Are you buying?";"Le bouclier de bois fait 50 rrubis,
vous le voulez?";"Ein Holzschild kostet 50 Rubine.
Willst du ihn?";
"木の盾は　５０ルピーゴロ、
ルピー足りないなら　売れないゴロ！";"A wooden shield is 50 Rupees,
Brother! If you do not have the
Rupees, you will not have the shield!";"Le bouclier de bois fait 50 rrubis,
je ne le vendrrai pas moins cherr!";"Ein Holzschild kostet 50 Rubine.
Wenn du zu wenig Rubine hast,
kann ich ihn dir nicht verkaufen.";
"お客サン・・・そんなにいくつも
同じ盾を持っても、荷物になるだけゴロ";"Brother... Carrying around more
than one of the same kind of shield
just makes for extra baggage...";"Un deuxième bouclier ne vous
serrvirrait à rrien...";"Ich will dir nicht zu nahe treten,
aber... Mehr als einen davon
brauchst du nicht mit dir herumzu-
schleppen!";
"お客サン・・・そんなにいくつも
似た盾を持っても、荷物になるだけゴロ";"Brother... Even though it may look
different, if you already have a
shield, carrying around another
one just makes for extra baggage.";"Vous avez déjà prresque le même
bouclier, celui-ci ne vous serrvirra
à rrien.";"Ich will dir nicht zu nahe treten,
aber... Du hast doch schon einen
ähnlichen Schild.";
"ここは　いつ来ても暑いな・・・";"It is always hot when I come here...";"Il fait toujours très chaud par ici...";"Hier ist es immer heiß...";
"このままだと、
日干しになってしまいそうだ・・・";"At this rate, I will be sun dried in no
time...";"A ce rythme-là, je vais vite
finir séché...";"Wenn das so weitergeht, trockne
ich noch völlig aus...";
"あぁ、気持ちいい・・・
生き返るなぁ・・・";"Ahhh...
That's the stuff...";"Je viens faire une cure ici de temps
en temps... Ah, je me sens revivre!";"Ach, tut das gut...
Ich fühle mich wie neugeboren...";
"うぅ・・・
のぼせてしまった・・・";"Uh... I have been here too long...";"Ooohhh...  je crois que je suis 
resté trop longtemps dans l'eau...";"Uh...
Mir ist ganz schwindlig...";
"今、息止めの練習してるんだから
ジャマしないでコロ！";"I am practicing holding my breath, so
do not bother me, Brother!";"Je m'entrraîne à rretenirr ma
rrespirration sous l'eau, alorrs
ne me dérrange pas!";"Stör mich nicht! Ich übe
gerade, den Atem anzuhalten.";
"・・・でも、いつまで経っても
苦しくならないコロ！
不思議コロ～";"...But no matter how much time
passes, I never feel the need to
inhale! It is strange...";"... Le plus bizarrre, c'est que j'ai
beau rrester des heurres sous
l'eau, je n'ai jamais besoin de
rrespirer...";"Ich kann das ewig machen, ist gar
kein Problem! Sehr seltsam...";
"・・・気になった？
よくオイラに気がついたコロ！";"You saw me? I am surprised you
noticed me!";"... Ma prrésence ici t'intrrigue, 
n'est-ce pas? C'est vrrai qu'il y a 
de quoi se poser des questions...
Mais brravo pourr m'avoirr trrouvé!";"...Oh!
Dass du mich hier bemerkt hast!";
"木の盾　５０ルピー
木製だから炎に焼かれると燃えちまうが、
あるのとないのじゃ大違いゴロ";"Wooden Shield   50 Rupees
It is wood, so if it catches fire, it may
burn up. Still, life without a shield
is dangerous for a human!";"Bouclier de bois  50 rubis
Il rrisque de se consumer au
contact du feu, mais il rreste
trrès utile.";"Holzschild: 50 Rubine
Verbrennt leicht, da er aus Holz
ist. Aber du wirst ihn brauchen!";
"ミルク（２回分）　２０ルピー
今、風呂あがりの　ミルク一気飲みが
ゴロンの間で大ブームだゴロ！";"Milk (2 servings) 20 Rupees
Chugging a glass of milk after soaking
in the hot spring is very popular,
Brother!";"Lait (2 gorgées)  20 rubis
En ce moment, il est trrès en vogue
de boirre son lait d'un trrait
au sorrtirr du bain!";"Milch (ganze Flasche): 20 Rubine
Ein kräftiger Schluck Milch nach
dem Bad... Gibt es etwas, das einen
Goronen besser erfrischt?";
"カンテラの油　２０ルピー
夜の登山道は真っ暗ゴロ！
カンテラの油には　気をつけるゴロ";"Lantern Oil  20 Rupees
The mountains are dark at night,
Brother! Make sure you have enough 
oil!";"Huile à lanterne  20 rubis
Le chemin qui mène à la montagne
est d'un noirr d'encrre la nuit!
Pensez à vérrifier votrre huile!";"Lampenöl: 20 Rubine
Die Bergpfade bei Nacht sind
finster. Achte darauf, immer ge-
nug Öl in der Lampe zu haben!";
"矢（１０本）　１０ルピー
この辺は店が少ないから、弓を使うんなら
矢は多めに持っておいたほうがいいゴロ";"Arrows (10)  10 Rupees
There are few shops in the area. If you
use a bow, carry lots of arrows,
Brother.";"Flèches (lot de 10)  10 rubis
Il y a peu de magasins dans le coin,
alorrs achetez un peu plus dès que
vous en avez l'occasion!";"Pfeile (10 Stück): 10 Rubine
In dieser Gegend gibt es nicht
viele Geschäfte. Wenn du Pfeile
brauchst, deck dich lieber hier ein.";
"おおっ・・・
こりゃまた物騒だなぁ・・・";"Whoa... This looks dangerous...";"Oh oh... Ça a l'air bien dangereux,
ce truc...";"Verdammt...
Das ist ja mal wieder
unheimlich!";
"デスマウンテン流の歓迎か・・・？
クククッ！";"Is this the traditional Death Mountain
welcome? Eee hee!";"La Montagne de la Mort tient à sa
réputation, on dirait...
Ksh ksh ksh!";"Wahrscheinlich eine Art
traditionelle Begrüßung am
Feuerberg... Hehehe...";
"これ・・・ずっとあるけど
まだ相当、熱を持ってるな・・・";"This thing has been here for a while
now, but it's still pretty hot...";"Ce truc... Ça fait un moment qu'il
est là, mais il est encore aussi
chaud qu'avant... ";"Dieser Stein ist ja immer noch
hier...! Und anscheinend ist er
immer noch ziemlich heiß...";
"これだけの大きさと熱があれば
ゾーラの里の氷も溶かせるんじゃないか？";"As big and as hot as it is, it just might
be enough to melt the ice in Zora's
Domain, don't you think?";"Un caillou aussi gros et aussi
chaud, ça devrait suffire à
décongeler un village Zora, non?";"Wenn ein Stein so heiß und so
schwer ist... dann müsste man
damit doch auch das Eis bei den
Zoras schmelzen können...?!?";
"何かに使えるんなら、ミドナ様が
どけてやってもいいんだけどな～？";"If you wanted to use it for something,
I could use my powers to remove it,
but...";"Mais si tu comptes en faire quelque
chose de bien précis, je peux 
peut-être t'aider à le déplacer...";"Ich kann's auch wegräumen, wenn
du es für irgendwas brauchst.";
"• ワープさせる
• ミドナと話す";"• Warp
• Speak to Midna";"• Téléporte-le.
• Tu as une idée?";"• Warpen.
• Mit Midna reden.";
"ん　なんだ？";"Wh-What?";"Quoi, qu'est-ce qu'il y a?";"Was soll das?";
"クソッ　何とかしろよ！
村のヤツとか
何か知ってるんじゃないか？";"Aaargh! Do something, will you! Those
village fools must know SOMETHING!";"Mais bon sang, fais quelque chose!
Il doit bien y avoir quelqu'un dans
le village ou ailleurs qui aura
une idée!";"Mist! Tu doch was!
Die Leute im Dorf wissen doch
bestimmt was!";
"ここに来たって　しょうがないだろ！";"There's no reason to be here, is
there?";"Mais ça ne sert à rien de venir ici!";"Glaubst du wirklich, hierher zu
kommen bringt uns was...?";
"さっさと　ボウって奴の所に行くぞ！";"We're going to that Bo person's place
this INSTANT!";"Il faut aller voir ce Bohdan, et vite!";"Sind wir immer noch nicht
bei diesem Boro?!?";
"そういえば　何か　でっかいのが
落ちてきてたよな～？
クククッ";"Now that I think of it, something
rather large DID fall from the sky,
didn't it? Eee hee hee!";"Tiens, ça me fait penser, il est
tombé un truc énorme ici tout
à l'heure, non? Ksh ksh ksh!";"Da scheint was ziemlich Großes
runtergekommen zu sein, oder?
Hehehe...";
"なぁ、さっき　ゴロン達が
背中を踏み台にして　高く飛んでたよな？";"Hey, did you just see that Goron
use another Goron's back as a
springboard to jump really high?";"Au fait... un peu plus tôt, l'un des
Gorons s'est mis en boule pour
qu'un autre monte sur son dos, et
il l'a propulsé dans les airs...";"Diese Goronen vorhin, die sind
doch einfach auf den Rücken eines
Kameraden gestiegen und haben
sich hochschleudern lassen, oder?";
"オマエも、そこらにゴロゴロしてる
ゴロンの背中を借りればいいじゃないか";"So...maybe you could just use the
back of one of those nice Gorons
if you need to jump, too!";"Est-ce que tu ne pourrais pas faire
pareil? Monter toi aussi sur le dos
de l'un des nombreux Gorons qui
se trouvent ici?";"Vielleicht könntest du ja auch auf
den Rücken von diesem zusammen-
gerollten Goronen dort steigen...";
"なんだよ～
オマエも　もっと　向かって行けよな！";"What was that?! You can do better
than that! Face the right way and go!";"Qu'est-ce que tu fais? Tu devrais
les attaquer de face!";"Was machst du denn?
Du musst ihm schon
richtig entgegentreten!";
"どうせ　こんなヤツら、図体がデカいだけで
見た目ほど大したことないだろ！";"See, these guys may look huge, but
they're not so big.";"C'est vrai qu'ils en imposent, mais
ils ne sont sûrement pas aussi 
forts qu'ils en ont l'air!";"Der sieht zwar riesig aus, aber
so schlimm ist er gar nicht!";
"🡄 [AnalogLeft] 温泉みやげに　なんか買ってくゴロ！";"Pick up your hot-spring souvenirs
right here! 🡄 [AnalogLeft] ";"🡄 [AnalogLeft]  Achetez un souvenirr de nos
sourrces therrmales! ";"Wie wär's mit einem Andenken
an die Therme? 🡄 [AnalogLeft] ";
"商品は🡄 [AnalogLeft] で見てくれゴロ！";"Check out our selection using 🡄 [AnalogLeft] !";"Vous pouvez rregarrder 
les marrchandises avec 🡄 [AnalogLeft] ! ";"Das Sortiment kannst du mithilfe
von 🡄 [AnalogLeft]  ansehen. 
";
"見張りの者が来る前に
早く逃げて";"Please, you must leave quickly...
before the guard comes.";"Fuyez, vite, avant que le garde
n'arrive!";"Schnell! Verschwindet, bevor
die Wachen erscheinen!";
"フン・・・、オマエなかなか
いい毛並みしてるじゃないか";"Hmm... Looks like you come from
decent stock, huh?";"Hmm... mais c'est que tu n'as pas
un pelage désagréable à l'œil...
Tu dois avoir des ancêtres de 
qualité...";"Hehe... Du hast ja wirklich
ein schönes Fell.";
"ワタシの乗り物としては
まぁ合格かな・・・？　ククッ！";"With your lineage, I think you
qualify to be my official steed!
Eee hee hee!";"Faute de grives, on se contente
du loup... Je cherche une monture 
digne de moi, et tu feras l'affaire! 
Ksh ksh ksh!";"Es wird sicher ein Spaß sein, mit
dir durch die Welt zu reiten!";
"アレ、な～んだ？";"Huh? What's that?";"A ton avis, c'est quoi ça?";"Nanu... Was ist denn?";
"[L] を押してみな？
後は・・・まぁ、わかるだろ？";"Try pressing [L] . After that... Well,
you'll figure it out.";"Appuie sur [L] , pour voir.
Pour le reste... tu sauras bien
te débrouiller!";"Versuch doch einfach mal, [L]  zu
drücken... Den Rest findest du
schon alleine heraus!";
"そうそう、そうやって
困ったことがあれば　[Z] で呼んでみな";"Right, that's the way. If you ever
need help, just press [Z]  to call me.";"Bien, brave bête. Quand tu as 
un problème, appelle-moi avec [Z] .";"Ganz genau! So! Wenn du ein
Problem hast, drücke einfach [Z] ,
um mich zu rufen!";
"素直にしてりゃ　手を貸してやるよ！";"As long as you're a good boy, I'll
be happy to lend a hand!";"Si tu es toujours bien sage, 
alors je t'aiderai...";"Wenn du brav bist, kann ich dir
vielleicht sogar helfen!";
"なにやってんだよ～
下をちゃんと見てみな！";"What are you doing?! Do you ever
try just looking down?";"Mais qu'est-ce que tu fais? Tu ne
regardes jamais plus bas que ton
museau? Fais un effort!";"He, was soll das?!?
Schau gefälligst nach unten!";
"ククッ・・・遠回りご苦労さん！";"Eee hee! Awww, did the detour tire
you out, little wolf?";"Alors, ce détour, c'était comment?
Ksh ksh ksh!";"Hehehe... Manchmal führen
Umwege eben auch ans Ziel!";
"逃げたいんだろ？
じゃあ、ホレ　しゅっぱ～つ！";"You want out of here, right? OK!
We're off!";"Tu as envie de sortir d'ici? Alors...
En avant, toute!";"Du willst doch hier raus, oder?
Also gut... Abmarsch!";
"そろそろ、ここが何処だか
わかってきたかな・・・クククッ";"By the way, do you...have any idea
where we are? Eee hee!";"Ah, mais j'y pense... tu as deviné
où tu te trouves, là? Ksh ksh ksh!";"Vielleicht hast du ja schon eine
Ahnung, wo wir sind? Hehehe...";
"まぁ・・・
上まで行けば、きっとわかるよ
";"Well... Maybe you'll figure it out
once we get up top.";"Hmm... bah, tu verras bien quand
tu seras en haut de la tour!";"Na ja... Spätestens, wenn wir oben
sind, wird es dir klar werden.";
"ほら、もう少しだぞ！";"Look! Just a little farther!";"Allez! Tu y es presque!";"Komm schon, wir sind ja bald da!";
"何やってんだ、はやく行けよ！";"What're you doing? C'mon!
Let's go!";"Bon, tu fais quoi, là? Dépêche-toi!";"Was soll denn das?
Los, mach schon!";
"こっから出たけりゃ
ワタシの言うことを　素直に聞けよ！";"If you want to get out of here,
you'd better be a good boy and do
as I say!";"Si tu as envie de sortir d'ici...
il va falloir être très obéissant!";"Wenn du hier raus willst, tust
du am besten, was ich sage!";
"ん・・・なんか水が減ってるな～？
・・・ま、いいか？";"Hmmm... The water's dropped...
Oh, well.";"Tiens? On dirait que le niveau
de l'eau a baissé... Enfin, pour
ce que j'en dis, moi.";"Sag mal... Das Wasser ist doch
weniger geworden? Oder kommt
mir das nur so vor?!?";
"アレ？
でも、どっちに行くんだっけ・・・";"Huh? I can't remember which way
we were supposed to go...";"Euh... je ne me souviens plus 
du chemin...";"Aber... wo geht es
wohl jetzt entlang?";
"・・・おい、オマエも少しは探せよ！";"Hey! Why don't you do a little
looking yourself, you lazy wolf!";"Hé, il n'y a pas de raison que
je sois la seule à chercher!
Allez, au boulot!";"Hey! Such gefälligst
auch ein wenig selbst!!!";
"お～、臭い臭い！
こんな所に長居はゴメンだよ・・・";"Ugh! That STENCH! Why are we
lingering in such a nasty place?";"Ah, quelle odeur, c'est infect...
Fais-moi vite sortir de là...";"Das stinkt ja ganz erbärmlich!
Also, lange will ich hier auf
keinen Fall bleiben!";
"ほらほら、どうしたんだ？
はやくこっちに来なよ・・・";"Come on! What's the matter with
you? Get over here, now!";"Eh ben alors, qu'est-ce qu'il y a?
Allez, viens ici, dépêche-toi...";"Hey, was ist los mit dir?
Komm hier rüber, aber fix!";
"自力で出られないなら
抜け穴でも探してみれば～？";"If you can't force your way out,
why don't you see if there's some
kind of hole you can squeeze
through?";"Si tu n'arrives pas à sortir 
normalement, cherche un passage.";"Wenn du auf normalem Wege nicht
rauskommst, findest du ja
vielleicht irgendein Loch, durch
das du entkommen kannst?!?";
"こういう所には　大抵あるもんだろ？";"I mean, places like this are always
full of holes, right?";"Ça ne veut pas forcément dire 
qu'il y en a un, mais bon... 
D'habitude, dans ce genre 
d'endroit... Ksh ksh ksh!";"Ich meine... Löcher gibt's an Orten
wie diesem doch normalerweise
immer?!?";
"ククッ・・・遠回りご苦労さん！";"Eee hee! Awww, did the detour tire
you out, little wolf?";"Ksh ksh ksh... J'espère que
la promenade t'a plu!";"Hehehe... Manchmal führen
Umwege eben auch ans Ziel!";
"ここから出たいんなら
ワタシの言うことを　素直に聞けよ？";"If you want to get out of here, you
be a good boy! You do exactly as I
say!";"Si tu veux sortir de là, il va falloir
m'obéir...";"Wenn du hier raus willst, tust
du am besten, was ich sage!";
"ほら～　[L] 押してみたのか～？
こんなトコで　ノンビリしてるなよ～";"Come on! Press [L] ! Stop wasting
time!";"Bon alors, tu appuies sur [L] , oui?
On n'a pas que ça à faire!";"Sag mal... Hast du eigentlich schon
[L]  gedrückt? Wir haben schließlich
keine Zeit zu verlieren!";
"ほらっ、とっとと行きな！";"Come on! Let's get out of here!";"Allez, dépêche-toi!";"Na also! Und jetzt weiter!";
"飛べる足場があれば　[Z] で教えてやるから
そういう時は　素直に答えろよ！";"When I see a spot to jump to, I'll
let you know, so respond quickly
by pressing [Z] . You got that?";"S'il y a moyen de sauter, je te 
le dirai avec [Z] , alors quand c'est
le cas, tu me feras le plaisir de 
m'écouter!";"Wenn irgendwo ein Halt ist,
auf den du springen kannst, zeige
ich ihn dir... Du musst einfach nur
[Z]  drücken!";
"オマエが　いいコにしてれば
また助けてやるよ～";"If you'll be a good boy, I'll help
you again.";"Si tu es sage, je t'aiderai
à nouveau!";"Wenn du brav bist, helfe
ich dir vielleicht noch mal!";
"もうすぐだから　黙って行きな";"We're almost there, so quit yapping
and get moving!";"Allez, tu y es presque, cesse de
te plaindre et avance...";"Wir sind ja gleich da!
Also sei still und lauf weiter!";
"モタモタしてないで逃げるぞ！";"Quit wasting time! RUN!";"Ne traîne pas! COURS!";"Jetzt bloß nicht trödeln!
Los, wir hauen ab!";
"はぁ～・・・しょ～がねえなぁ・・・";"I guess I have to do EVERYTHING
for you...";"Pff... il faut vraiment tout
t'expliquer, alors?";"Sag mal, ist das denn so schwer?";
"足場を教えてやるから、
ワタシに[L] 注目して[A] でついて来な！";"Look, I'll show you all the small
ledges, so just [L] -target me and
press [A]  to jump to where I am!";"Je vais te montrer où sauter, alors
vise-moi avec [L]  et appuie sur [A] !";"Ich zeig dir, wo du Halt findest.
Nimm mich einfach mit [L]  ins
Visier und verwende [A] , um
mir zu folgen!";
"ふぅ～・・・
やっとここまで上って来たか・・・";"Phew... Finally made it to the top!";"Pff... tu en as mis du temps!";"Puh... Bis hierher haben wir's
zumindest schon mal geschafft.";
"ほら、もうすぐ外に出られるから
上に行けそうな足場を探しな？";"Look! We're almost outside. Why
don't you try to find some footing
we can use to climb up?";"Allez, tu es presque dehors. 
Cherche un appui sur lequel
tu pourrais sauter.";"Pass auf, gleich sind wir
draußen! Schau mal, ob du
irgendwo Halt findest, wenn
du springst...";
"あ～あ・・・
なにやってんだか・・・";"Ugh... What are you doing?";"Non! Mais qu'est-ce que
tu fabriques?";"Oh Mann! Was sollte
denn das werden?";
"一番でっかい塔を　目指せよ";"Go find the tallest tower, OK?";"Dirige-toi vers la plus haute tour
du château.";"Genau! Zum allerhöchsten
Turm! Genau da will ich hin!";
"面白い奴に　会わせてやるからさ・・・";"I'll introduce you to someone very
interesting...";"Je vais te présenter quelqu'un.
Ça devrait t'intéresser, tu verras...";"Es gibt da eine Person, die du
unbedingt kennenlernen solltest!";
"おや・・・
これは　これは・・・";"Oh... Well, well...";"Oh? Tiens, tiens...";"Aha...?
Das ist ja...";
"ククク！
ほら、いいもの見せてやるよ";"Eee hee hee! Want to see
something interesting?";"Ksh ksh ksh! Je vais te montrer
quelque chose de très utile...";"Hehehe!
Pass auf, ich zeige dir
etwas Interessantes!";
"獣のオマエになら　わかるはずさ
[X] でセンスを研ぎ澄ましてみな・・・？";"You're a beast, remember? Press [X] 
to hone your senses and poke
around!";"Puisque tu es un loup, tu devrais 
être suffisamment sensible. Affine
tes sens avec [X]  et sois attentif!";"Ein Tier wie du sollte erkennen,
dass da etwas ist, oder? Drücke [X] ,
um dein Gespür zu schärfen, und
dann sieh genau hin!";
"こ・・・ここまで逃げて来たら
もう大丈夫だよな・・・？";"Huff... Huff... Can't...run...any...
farther... That's...far enough...
right? I'll be safe here...I think...";"Han... han... J'espère... han... que
je suis... han... assez loin... han...
pour être... han... en sécurité...";"Hier... dürfte ich wohl in
Sicherheit sein...?";
"くそ・・・　来るなよ・・・
誰も　来るなよ・・・！";"What was that noise?! Don't...
Don't anything come near me!";"Non... n'approchez pas...
Laissez-moi tranquille!!";"Verdammt! Keinen Schritt
weiter...! Stehenbleiben...!";
"なんだなんだ？　あの黒い化け物は・・・
どこから　湧いてくるんだ・・・

で、出口・・・出口・・・";"What are these black things...
Where are they coming from...


And how do we get out of here?!";"C'est quoi au juste, ces monstres 
noirs? D'où ils sortent??


Il faut que je me tire d'ici... et vite!
La sortie... où est la sortie...";"Was sind das für schwarze
Monster...? Wo kommen die her?


Raus... Ich muss... hier raus...";
"やっと、抜け出せたな


ほら、空を見てみなよ？
今日も、黄昏の黒雲がキレイだね～";"So, we were finally able to get out.



And look at the sky! Isn't the black
cloud of twilight looking beautiful
today?";"Enfin dehors!



Aah... Regarde ce ciel... 
Les nuages noirs du Crépuscule 
montrent aujourd'hui encore 
toute leur splendeur!";"Endlich draußen!



Und sieh nur, wie schön heute
Abend die schwarzen Wolken
über dem Schattenreich liegen...";
"ここが何処なのか、もうわかったよな？
まだ　わからないか・・・？　クククッ";"Do you know where this is? You
STILL don't know? Eee hee hee!";"Bon, maintenant, tu sais où on est,
là, quand même? Toujours pas?
Ksh ksh ksh!";"Und? Weißt du jetzt, wo wir sind?
Oder hast du es immer noch nicht
gemerkt? Hehehe...";
"オマエに会わせたい奴がいるんだ・・・
あの塔まで付き合ってもらうからな！";"Look, there's someone I want to
introduce you to...but I'll need you
to go to that tower to do it!";"J'aimerais te présenter quelqu'un.
Tu vas venir avec moi jusqu'à 
la tour, là-bas!";"Es gibt da jemanden, der dich
kennenlernen will...
Also komm jetzt! Wir müssen
zu dem Turm da drüben!";
"・・・[Link]・・・
い・・・急げ・・・";"[Link]... Go... Hurry...";"[Link]... dépêche-toi...";"[Link]...
Be... Beeil dich...!";
"ゼルダの・・・所・・・へ・・・
はや・・・く・・・";"To...Zelda... Hu-Hurry...";"Tu dois... vite... retourner...
à la tour... voir... Zelda...";"Schnell... zu... Zelda...!";
"そうそう・・・オマエはまだ、獣の体に
慣れてないだろうから　言っとくけど・・・";"I doubt you're used to your new
body yet, so I'll just tell you...";"Je vois que tu n'es pas encore 
habitué à ton nouveau corps, alors
laisse-moi te donner un conseil...";"Du scheinst dich noch nicht an
deine Gestalt als wildes Tier ge-
wöhnt zu haben, deshalb lass
mich dir sagen...";
"戦う時は、人間の姿で
できてたことを　思い出してみな？";"Think about how you fought
enemies in your human form...";"Souviens-toi de ce que tu faisais
en tant qu'humain lorsque tu
devais combattre...";"Wenn du gegen Gegner kämpfst,
erinnere dich an das, was du als
Mensch konntest.";
"本能ってヤツは、姿が変わったぐらいじゃ
変わらないもんさ！";"Just because your shape has
changed doesn't mean your
instincts have as well!";"L'instinct de survie, ça ne
s'oublie pas!";"Dein Instinkt bleibt gleich, auch
wenn deine Gestalt sich verändert
hat.";
"ところで・・・
ちゃんとセンス[X] を研ぎ澄ましてるか？";"By the way... Are you using [X]  to
hone your senses like you should?";"Au fait... Tu aiguises bien tes sens
avec [X]  de temps en temps?";"Übrigens... Schärfst du auch
immer dein Gespür mit [X] ?";
"どうやら　ここにいる魂・・・
兵士ばっかりだな";"It looks like the spirits in here...
They're all soldiers.";"Apparemment, toutes les âmes 
qui errent ici appartiennent 
à des soldats...";"Anscheinend sind die Geister
hier ausschließlich Soldaten...";
"さて、一体　ここは何処でしょう？
クククッ";"Where in the world could we be?
Eee hee!";"Où est-ce qu'on peut bien 
se trouver en ce moment? 
Ksh ksh ksh!";"Sag mal... Was meinst du, wo wir
hier sind? Hehehe...";
"兵士の魂だったな";"That was a soldier's spirit.";"C'était l'âme d'un soldat.";"Dieser Geist ist sicher ein Soldat!";
"もしかしたら、あの世の者かな？
クククッ";"Maybe it's someone from the
other world? Eee hee!";"Peut-être qu'elle vient de l'autre 
monde? Ksh ksh ksh!";"Der kommt sicher geradewegs aus
der anderen Welt... Hehehe...";
"他にも　ここには魂がウジャウジャいるぞ
オマエのセンス[X] を研ぎ澄ましてみな
コイツら、何か知ってるかもな？";"There are lots of other spirits
roaming about here, you know.
Hone your senses with [X]  to see
them. They might know things...";"Il y a encore plein d'âmes dans 
le coin! Aiguise tes sens avec [X] 
et parle-leur. Peut-être que ces
soldats savent quelque chose?";"Hier gibt es noch mehr von diesen
Geistern. Du solltest dein [X] 
Gespür verwenden! Vielleicht
wissen die ja, was hier passiert...";
"おや、こんな所にも魂が・・・？";"So there are even spirits up here,
huh?";"Tiens? Il y a des âmes qui 
se promènent même ici?";"Was? Hier ist auch ein Geist?";
"なあ、オマエ　ここに来るまでに
気づかなかったか・・・？";"This whole spirit thing is pretty
new to you, isn't it?";"Dis, tu n'as pas remarqué 
un truc bizarre?";"Du hast es wohl nicht bemerkt,
bevor wir hierher gekommen sind?";
"コイツらには、あの化け物達は見えても
オマエのことは　わからないのさ！";"Even though these guys can see
those monsters, they don't know
a thing about you!";"Ils arrivent à voir les monstres, 
mais ils n'arrivent pas à te voir toi!";"Diese armen Dinger sehen zwar die
schwarzen Monster, aber dich
können sie nicht sehen!";
