Japanese;UK English;French;German;
"[Link]殿
ありがとうございました";"Master [Link], I must thank you so
very much!";"Merci beaucoup, [Link]!";"[Link]!
Wir sind dir wirklich dankbar!";
"スケットも、礼を言うか？";"What are you, mute, Skett? Could you not
show a little appreciation?";"Tu ne le remercies pas, Ostif?";"Du bist doch auch dankbar, oder Skett?";
"言うともさ　ガクット！";"I am working on it, Akoot!";"Mais bien sûr que si, Olaf!";"Na, das kannst du glauben, Gackt!";
"ありがとうございます
お気をつけて";"Er... Thank you oh so very much.
Take care of yourself.";"Merci beaucoup!
Fais bien attention à toi!";"Wir sind dir wirklich sehr dankbar!
Pass bitte gut auf dich auf!";
"コモリ様は　たしか
竜の山の方に修行に行かれております";"I believe that Prince Komali has gone to
Dragon Roost to study.";"Scaff est parti pour son apprentissage à
la Montagne du Dragon.";"Komori stieg hinauf auf den Drachenberg,
um sich unterweisen zu lassen,
so weit ich weiß.";
"そうだったよな？
ガクット！";"Is that not right?
Akoot! Look alive!";"N'est-ce pas, Olaf?";"So war's doch, oder Gackt?";
"おうよ！　スケット
たしか、そうじゃ";"Yes! Yes, of course! I deem you are
absolutely correct, Skett.";"Oui, Ostif, c'est bien ça!";"Ja, so war's, Skett! Genau so!";
"[Link]殿に会ったら
よろしく　との事です";"He told us to give you his regards,
Master [Link].";"Il nous a chargés de te remercier,
si nous te croisions.";"Er bat uns, dir schöne Grüße zu bestellen,
falls wir dich sehen sollten, [Link]!";
"[Link]殿
メドリは今　お付きの勉強をしております";"Master [Link], Medli is busy with
her attendant studies.";"[Link],
Médolie poursuit également son
apprentissage pour devenir servante.";"[Link]!
Medolie widmet sich gerade voll
und ganz ihren Studien als Maid.";
"そうじゃったな？　スケット";"Is that not correct, Skett?
...Skett?";"N'est-ce pas, Ostif?";"Ist doch so, oder, Skett?";
"そうだ！　ガクット！";"Oh, that is quite correct, Akoot!";"Oui, Olaf, c'est bien ça!";"Ganz genau so, Gackt!";
"またいつか、会いに来てやってください";"Please come back and see her some
other time.";"Reviens nous voir,
quand tu en auras l'occasion...";"Bitte besuch sie doch mal wieder,
wenn sie etwas mehr Zeit hat.";
"[Link]殿
コモリ様なら、今どこかに
出かけていると思います・・・";"Master [Link], I believe that
Prince Komali has gone out...";"[Link], Scaff est sorti,
si c'est lui que tu cherches...";"[Link]!
Komori ist gerade irgendwo unterwegs,
so weit ich weiß...";
"そうだよな？　ガクット！";"Am I right or am I right, Akoot?";"N'est-ce pas, Olaf?";"So ist es doch, oder, Gackt?";
"そうじゃ、スケット";"I believe you are right, Skett.";"Oui, Ostif, c'est bien ça!";"Ja, so ist es, Skett! Genau so!";
"まあ、そのうち帰って来るでしょう";"He should be returning before too much
longer, so do not worry.";"Il ne va sûrement pas tarder à revenir.";"Aber er wird sicherlich bald zurückkehren.";
"[Link]殿
メドリなら、外の丘の上にいると思いますが";"Master [Link], if you are looking
for Medli, I believe she is atop the cliff
just outside.";"[Link],
si c'est Médolie que tu cherches,
elle est sur la colline, dehors.";"[Link]!
Medolie ist gerade auf dem Vorsprung
draußen, wenn ich mich nicht täusche...";
"そうじゃったな？　スケット";"Do I speak the truth, Skett?";"N'est-ce pas, Ostif?";"Ist doch so, oder, Skett?";
"いつもの所だろ！　ガクット";"You do, Akoot, as usual! She is right in the
same old spot!";"Oui, comme toujours, Olaf!";"Na, da wo sie halt immer ist, Gackt!";
"外に出れば、メドリの弾いている曲が
聞こえてくるはずですよ";"If you step outside near where she is,
you should be able to hear the song she
is playing.";"Si tu sors,
je pense que tu entendras le morceau
de musique qu'elle est en train de jouer.";"Wenn du rausgehst, folge einfach
nur dem Spiel ihres Instruments,
dann findest du sie bestimmt!";
"[Link]殿
あまり、無理はなさらぬように";"Master [Link], do not push yourself
too hard.";"[Link],
ne tente pas l'impossible!";"[Link]!
Bitte sei vorsichtig!";
"ガクット！　お前も[Link]殿に
何か言うことはないか？";"Akoot! Speak up! Is there nothing you want
to say to Master [Link]?";"Olaf, toi aussi, tu as quelque chose
à dire à [Link], non?";"Gackt! Möchtest du [Link]
nicht auch ein paar Worte
mit auf den Weg geben?";
"あるともさ　スケット！";"Of course there is, Skett!
And that something is as follows...";"Si, bien sûr, Ostif!";"Na und ob ich das möchte, Skett!";
"がんばって！
我々が　ついていますぞ！";"Do your best!
We are with you all the way!";"Bon courage!
Nous sommes avec toi!";"Mach's gut!
Wir stehen voll hinter dir!";
"[Link]殿
メドリを知りませぬか？";"Master [Link], you know Medli,
do you not?";"[Link],
tu ne connais pas Médolie?";"[Link]!
Weißt du vielleicht, wo Medolie ist?";
"見当たらんのじゃな
なあ、スケット！";"Well, we cannot find her!
I am not lying, am I, Skett?";"Elle est introuvable...
N'est-ce pas, Ostif?";"Wir haben sie seit einiger Zeit
nicht mehr gesehen, was, Skett?";
"そうだ、ガクット！";"You most certainly are not, Akoot!";"Oui, Olaf!";"So ist es, Gackt!";
"まあ、心配ないとは思いますが
見かけたら　教えてください";"Now, I do not think there is any need for
alarm, but let us know if you see her.";"Je ne pense pas qu'il y ait 
de raison de s'inquiéter,
mais si tu la vois, dis-le moi.";"Nun, wir müssen uns wahrscheinlich
keine Sorgen machen, aber falls du
sie sehen solltest, wäre es nett,
wenn du uns Bescheid sagen könntest.";
"この先の竜の山はヨォ　ただでさえ
バクレツの実がなる　危険な山だったのにヨォ

今はヨォ、そのバクレツの実さえ
枯れっちまうほど
も～っと危険な場所になっちまってヨォ～
ヴァルー様も、罪つくりなお方だ・・・";"As you're from off-island, allow me tell
you about the Dragon Roost. Even in the
best of times, it's a dangerous place with
all those bomb flowers growing everywhere.
...And now, it's even more perilous. It's so
bad that the bomb flowers themselves have
all dried up. The "great and wonderful
Valoo" has created quite a mess!";"La Montagne du Dragon qui s'ouvre
devant toi était autrefois un endroit
dangereux où poussaient
des Choux Péteurs.
Aujourd'hui, cet endroit est devenu
encore plus dangereux, et même les Choux 
Péteurs y ont fané.

Et dire que c'est Valoo qui est à l'origine
de tout ça...";"Früher war der Drachenberg ein sehr
gefährlicher Ort, weil es da so viele
explosive Pflanzen gab!

Aber jetzt ist er zu einem noch viel
gefährlicheren Ort geworden, an dem sogar
die ganzen explosiven Pflanzen verdorren!

Der große Valoo hat da aber
wirklich was angerichtet...";
"オレたちがヨォ、ウロコとりに行った頃は
バクレツの実だけ　注意して登れば
よかったんだヨォ
今は、登るどころか　近づくこともできねえ
ウソだと思うんだったら、見てきなヨォ

入り口になってた　バクレツの実なんて、
アツさで土が乾燥しちゃってるから、
シオシオで実も育たねえヨ";"We used to have to worry only about bomb
flowers when we went to get our scales.


Now, climbing's not even an issue since we
can't even get close to the mountain.
You think I'm joking? Go and take a look
for yourself.
The bomb flowers that marked the entrance
to Dragon Roost Cavern have all wilted
because the earth is so dry. They're not
producing bomb-fruit at all. It's sad, really.";"A l'époque où nous sommes allés chercher
nos écailles, il fallait juste faire attention
aux Choux Péteurs en montant.

Aujourd'hui, il est impossible de monter
ou même de s'approcher de l'endroit
où l'on reçoit les écailles.

Si tu ne me crois pas,
va le constater toi-même.


Avec la chaleur, la terre a séché
et les Choux Péteurs qui poussaient
à l'entrée ne peuvent même plus y pousser.";"Als ich zum Beispiel damals den Berg
hinaufstieg, musste ich nur auf die
explosiven Pflanzen Acht geben.

Aber jetzt ist an einen Aufstieg gar nicht
mehr zu denken! Wenn du mir nicht glaubst,
dann überzeuge dich doch selbst!

Die explosiven Pflanzen gleich am Aufgang
tragen überhaupt keine Früchte mehr,
weil der Boden aufgrund der Hitze völlig
ausgetrocknet ist!";
"このアツさじゃ、しかたがないけど
そこから、下見てみな
竜の山の池が　干上がってないか？";"I guess it's to be expected in this heat, but
just take a look down there!
Dragon Roost Pond is completely dried up!";"Il n'y a rien à faire contre cette chaleur.
Mais regarde en bas quand tu seras là-bas.
L'Etang de la Montagne du Dragon 
a l'air complètement desséché.";"Wirf doch mal einen Blick über den
Vorsprung. Du wirst feststellen, dass der
Teich vollkommen ausgetrocknet ist! Aber
das ist bei der Hitze nicht verwunderlich!";
"下の池は、湧き水が出てて
キレイな池だったのにさ・・

今じゃ、バクレツの実さえ枯れちまうほど
干からびちまって・・・

しかし、暑いな・・・
偵察しにいった親方様たちも　大変だけど
残って、警備する方もけっこう大変なんだぜ";"The pond came from this bubbling spring.
It was such a beautiful little pond...


Now it's so arid that even the bomb flowers
have completely dried up.


It's just so hot...
I'm sure the chieftain and those guys are
having a tough time checking things out,
but it's tough for us guards, too.";"Cet étang était autrefois alimenté
par une source et il était magnifique.


Et dire que maintenant,
même les Choux Péteurs ne peuvent plus 
y pousser...

Il fait vraiment trop chaud!
Le Grand-Chef et ceux qui sont partis en
reconnaissance avec lui doivent étouffer!
C'est déjà dur de monter la garde!...";"Der Teich da unten war aus einem
sprudelnden Geysir heraus entstanden
und sah wirklich herrlich idyllisch aus.

Aber jetzt ist es hier so heiß,
dass selbst die explosiven Pflanzen
ganz verdorrt und verschrumpelt sind!

Mann, diese Hitze...!
Der Stammesführer und die anderen,
die die Sache auskundschaften wollten,
haben's bestimmt auch nicht leicht.
Aber ich stehe hier den ganzen Tag Wache
und schmore wie in einem Bräter!";
"[Link]
メドリを知らないか？";"[Link], do you know Medli?";"[Link],
connais-tu Médolie?";"[Link], weißt du vielleicht,
wo Medolie ist?";
"たった今、仲間が　
竜の山付近で見慣れないバケモノたちが、

メドリらしき女の子をさらっていった
のを見たというんだ・・・

まあ、あの子ひとりで　竜の山の入り口まで
飛ぶことはできないから
何かの見間違いだと思うんだが
ちょっと、気になってな";"Just now, some fellow told me that he
saw some unfamiliar creatures near
Dragon Roost Cavern...

He said that they grabbed a girl that
looked like Medli...


...Which is odd, because I know Medli can't
fly well enough to get to the Dragon Roost
Cavern entrance by herself. So I figure it
must be some sort of mix-up.
It IS a bit disconcerting, though...";"Un collègue vient de me dire qu'il avait vu
des monstres inconnus enlever une 
jeune fille qui ressemblait à Médolie
aux environs de la Montagne du Dragon.
Pourtant, Médolie est trop petite
pour avoir pu voler jusque là-bas...
C'est sûrement une erreur,
mais je suis inquiet quand même.";"Soeben wurde mir berichtet, dass einige
fremde Ungeheuer in der Nähe des
Drachenberges ein Mädchen, das Medolie
ähnlich sah, verschleppt haben sollen...
Nun, Medolie kann aber unmöglich bis zum
Aufgang des Drachenberges geflogen sein,
daher handelt es sich sicherlich
um eine Verwechslung...
Dennoch bin ich etwas beunruhigt.";
"まあ、メドリらしき女の子が竜の山で
さらわれたっていう情報は
きっと、何かの間違いだろう・・・？
オレは、もうちょっとここで
待ってみるよ！

[Link]は　心配するな


それより、コモリ様のことは、頼んだぞ";"This whole business of someone resembling
Medli getting snatched near Dragon Roost
Cavern has got to some kind of mistake.

Still, I'm going to wait here for a while and
watch things extra-carefully.


Don't worry, [Link].



Just look after Prince Komali.";"En fait, mon collègue a dû se tromper.
Je ne pense pas que Médolie ait pu
se faire enlever
du côté de la Montagne du Dragon...
Mais je vais rester un peu ici à attendre.
Ne t'inquiète pas, [Link].


Va plutôt t'occuper de Scaff...";"Dass es sich bei dem auf den Drachenberg
verschleppten Mädchen um Medolie handeln
soll, ist sicherlich nur eine Verwechslung.

Ich denke, ich werde wohl noch
eine Weile hier auf sie warten!


Sei unbesorgt, [Link]!



Kümmere du dich bitte um Komori!";
"昔は、いい風がふいたんだがな・・・


このあたりの風がおかしくなったのは
きっと、風の神さんが
お怒りになっているからさ
下にある　大切なお社が　壊されててな
ばちあたりなヤツがいるもんだよ
まったく・・・　";"We used to have such nice breezes blowing
through here... Now the air is crazy.


I'm positive the strange winds are a result
of the wind god's anger.


See, there's an important shrine below here
that got broken...and now we're paying
the price. What cursed luck...";"Autrefois, il soufflait toujours ici un vent
favorable.


Le Dieu du Vent a dû se mettre en colère,
pour que l'air devienne aussi étrange.


Il faut dire que son Sanctuaire,
en bas, a été brisé.
Les responsables sont bien punis!";"Früher hatten wir hier immer idealen Wind.



Doch dass der Wind in letzter Zeit hier
so verrückt spielt, liegt bestimmt daran,
dass der Gott des Windes so erzürnt ist!

Aber man kann es ihm ja kaum verdenken!
Irgendjemand hat nämlich seinen Schrein
zerstört! Es gibt schon wirklich gottlose
Menschen auf dieser Welt!";
"オレたちの生活に
風は、切っても切れないモノなんだ

空を飛ぶ時は必ず　下のお社の風の神さんに
お参りしてから　出かけるんだよ";"We Rito cannot live without the wind.



Before we take to the skies, we always go
down and visit the wind god's shrine.
That's the way it's always been.";"Nous autres peuple Piaf, 
nous ne pouvons vivre sans vent.



A chaque fois que nous projetons d'aller
quelque part, nous descendons faire
une prière au Dieu du Vent
avant de prendre notre envol.";"Der Wind stellt die Basis für
unseren Lebensunterhalt dar!


Bevor wir uns auf den Luftweg machen,
statten wir daher immer dem Schrein des
Gottes des Windes einen Besuch ab!";
"毎年、リト族主催のバードマンコンテストが
向こうの　はなれ小島で開かれるんだけど

島がこんな様子じゃぁ
今年はどうかな・・・？";"Every year, the Rito sponsor a Bird-Man
Contest on that island off to the east.


I wonder if we'll have one this year, what
with the current situation on the island...";"Chaque année,
le peuple Piaf organise un concours d'envol
sur une petite île proche d'ici.

Mais avec notre île dans cet état,
je ne sais pas si le concours aura lieu
cette année.";"Jedes Jahr veranstalten wir Orni einen
Vogelmann-Wettstreit auf einer kleinen
abgelegenen Insel nicht weit von hier.

So wie die Dinge aber im Moment liegen,
frage ich mich, ob er dieses Jahr nicht
vielleicht ausfallen muss...";
"こうしちゃ、いられない！


みんな、ヴァルー様のことで出払ってて
今、配達する人が　少ないんだよね・・・

さあ、仕事、仕事！";"No time to waste!



Everyone's so busy with the great Valoo
that we're running short of delivery
personnel. It's a mad-house!

Ah, well, back to work!";"Mais assez traîné!



Tout le monde est parti s'occuper du
vénérable Valoo et il n'y a plus assez de
monde pour livrer le courrier... 

Au travail, au travail!";"Es ist zum Federn raufen!



Dieser Zwischenfall mit Valoo hat
alle verscheucht und jetzt fehlt es
an allen Ecken und Enden an Personal,
um die Post zuzustellen!
Ich habe ja so viel zu tun!
Also, ab die Post!";
"この先の竜の山に行きたいのなら
ザンネンだけど・・・

見ればわかってもらえると思うけど
橋が壊れてね　先にいけないんだよ

泳いで渡るにも　肝心な池に
水がないんじゃねえ・・・

まあ、親方様がそのうち
何とかしてくれるさ！";"If you want to get to Dragon Roost Cavern,
I've got some bad news for you...


The bridge is out. There's no way to even
get inside. I'm sure you'll understand
once you've seen it for yourself.

As for swimming across, well...
You need water for that, and the pond's
all dried up...

No need to panic, though! I'm sure the
chieftain will think of something.";"Si tu voulais aller
à la Montagne du Dragon,
ce ne sera pas possible...

Tu vas voir: le pont est brisé et il est
impossible d'aller en face.


Et même pour traverser à la nage,
il faudrait passer par l'étang
qui est à sec...

Notre Grand-Chef va sûrement trouver
une solution...";"Falls du vorhattest zum Drachenberg zu
gehen, muss ich dich leider enttäuschen...


Wie du selber gleich unschwer erkennen
kannst, ist nämlich die Brücke kaputt
und der Weg ist somit abgeschnitten...

Sicherlich könntest du auch durch den
Teich bis ans andere Ufer schwimmen,
nur ist dieser dummerweise ausgetrocknet...

Aber ich bin mir sicher, dass der
Stammesführer die Sache schon wieder
irgendwie ins Lot bringen wird!";
"ザンネンだけど、竜の山には行けないんだよ
ムリして泳いで渡ろうにも
肝心な池に水がないからねえ・・・";"Sorry to tell you this, but you can no longer
get to Dragon Roost Cavern. Even if you
were of a mind to swim across, the pond's
empty. That's right, it's bone dry...";"Malheureusement, tu ne pourras pas aller à 
la Montagne du Dragon.
Même si tu voulais y aller à la nage, tu ne
pourrais pas traverser l'étang qui est à sec.";"Es tut mir wirklich Leid, aber du kannst im
Moment nicht auf den Drachenberg hinauf.


Selbst ans andere Ufer zu schwimmen
ist nicht möglich, da der Teich
ausgetrocknet ist...";
"竜の山の揺れが、いつの間にか
おさまっちまってヨォ

ヴァルー様のキゲンが　なおったのかな？";"Dragon Roost just up and stopped shaking!



I wonder if this means the great Valoo's
feeling better...";"La Montagne du Dragon a soudainement
cessé de trembler.


La colère de Valoo a dû s'apaiser...";"Das ständige Beben des Drachenberges
hat plötzlich aufgehört!


Ob der große Valoo sich wohl
wieder beruhigt hat?";
"これで、子供たちもヨォ
竜の山に　ウロコを取りに行けるヨォ";"This is great news for the fledglings!
Now they can climb Dragon Roost and get
their scales!";"Les enfants vont pouvoir aller
chercher leurs écailles.";"Jetzt können die Kinder endlich
wieder auf den Drachenberg gehen
und ihre Drachenschuppen in
Empfang nehmen!";
"ひさしぶりだヨォ


元気だったかヨォ？";"Long time, no see.



How've you been?";"Bonjour!



Comment vas-tu? Cela fait longtemps...";"Lange nicht mehr gesehen!



Ist es dir gut ergangen?";
"ゆっくりしてけヨォ";"Please, make yourself at home.";"Tu devrais te reposer un peu...";"Fühl dich bei uns wie zu Hause!";
"ひさしぶりだヨォ


元気だったかヨォ？";"Long time, no see.



How've you been?";"Bonjour!



Comment vas-tu? Cela fait longtemps...";"Lange nicht mehr gesehen!



Ist es dir gut ergangen?";
"外は　おっかねえからヨォ


まあ、ゆっくりしてけヨォ";"Don't want to stay outside, huh?



Well, make yourself at home.";"Il ne fait pas bon sortir à cette heure-ci.



Tu devrais te reposer un peu ici...";"Draußen ist es leider etwas gefährlich!



Aber fühl dich hier drin wie zu Hause!";
"暑くなくなったと思ったら・・・
池が元に戻ってるよ";"I was just thinking that it hasn't been quite
so hot lately, and what do you know?
The pond's gone back to normal!";"Tu trouves sans doute
qu'il fait moins chaud...
C'est que l'étang a retrouvé
son aspect normal.";"Ich dachte schon,
die Hitze bliebe für immer!
Aber jetzt hat auch
der Teich wieder Wasser!";
"池が元通りになったんだ
これから、橋の修理を急がなくっちゃな";"The pond's filled up again! We've got to get
busy repairing the bridge!";"L'étang a retrouvé son aspect normal. 
Nous n'aurons plus besoin de nous presser
pour réparer le pont.
";"Der Teich hat wieder Wasser.
Jetzt müssen wir uns aber mit der
Reparatur der Brücke beeilen!";
"おっ、ひさしぶりだねえ";"Hey! Welcome back!";"Tiens!
Ca faisait longtemps...";"Oh, lange nicht mehr gesehen!";
"竜の山には、まだ
変なのがいるみたいでね";"Apparently there are still some weird things
up on Dragon Roost.";"Il se passe encore des choses étranges
dans la Montagne du Dragon...";"Auf dem Drachenberg schleichen
sich leider immer noch allerlei
üble Ungeheuer herum.";
"あっ、キミか・・・";"Oh, it's you...";"Tiens, c'est toi?...";"Oh! Du bist's!";
"夜はブッソウだから
中に入っていたほうがいいよ";"The night's full of dangers, you know.
It's better to stay inside.";"C'est dangereux, la nuit, dehors...
Tu ferais mieux d'entrer...";"Nachts ist es draußen gefährlich,
am besten hältst du dich nur drinnen auf!";
"丘の上から、聞こえてくるだろ？


いい音色だ
メドリも　ホントにうまくなったよ";"You can hear that song coming from up on
the cliff, can't you?


Mmmm... Such beautiful tone.
Medli's really gotten good.";"Tu entends cette musique,
qui vient du haut de la colline?


C'est harmonieux...
Médolie a beaucoup progressé.";"Hörst du das?
Es kommt von dem Vorsprung da oben.


Welch wunderschöner Klang...
Medolie ist wirklich sehr gut geworden!";
"そこの丘の上が、メドリの指定席なのさ


あの子は、努力家でね
だんだん、師匠に似てくる・・・";"The top of that cliff is Medli's special spot.



That girl really is a hard worker. She's
beginning to fill the shoes of her teacher.";"Médolie joue toujours en haut de la colline.



Elle travaille beaucoup.
Elle ressemble de plus en plus
à son professeur.";"Der Platz auf dem Vorsprung ist sozusagen
für Medolie reserviert.


Sie ist wirklich außerordentlich
fleißig und erinnert immer mehr
an ihre Lehrmeisterin...";
"外の丘の上に　メドリは、いなかったかい？";"Wasn't Medli on top of that cliff outside?";"Tu n'as pas trouvé Médolie dehors,
en haut de la colline?";"War Medolie nicht
draußen auf dem Vorsprung?";
"もう、夜も遅いから
あの子に、中に入るように
言ってくれないか？";"It's starting to get dark... Could you go and
tell her it's time to come inside?";"Il va bientôt faire nuit.
Peux-tu lui dire de rentrer?";"Würdest du ihr bitte sagen,
dass sie reinkommen soll?
Es wird allmählich spät.";
"なんか、ヴァルー様のキゲンが
直ったようだね

それじゃあ今年も、鳥人間コンテストは
開かれるかもな";"It appears that the great Valoo is in much
better spirits.


Maybe we'll have our annual Bird-Man
Contest after all.";"La colère de Valoo semble s'être apaisée.
Le concours d'envol aura donc
probablement lieu cette année encore.";"Es hat ganz den Anschein, als sei
der große Valoo wieder ganz der Alte.


Dann kann also der Vogelmann-Wettstreit
auch in diesem Jahr abgehalten werden!";
"さあ、もうひと仕事してくるか！";"Ah, I'm off to do some more work!";"Allez, je dois me remettre au travail!";"Gut, ein bisschen was will
ich heute noch erledigen!";
"向こうのはなれ小島で
リト族主催のバードマンコンテストが
やっているから、参加してみたら？";"We're holding our traditional Bird-man
Contest on that little island over there.
Why don't you give it a try?";"Chaque année,
le peuple Piaf organise un concours d'envol
sur une petite île proche d'ici.
Tu devrais venir y prendre part.";"Auf der abgelegenen, kleinen Insel
da drüben veranstalten wir Orni einen
Vogelmann-Wettstreit.
Wäre das vielleicht was für dich?";
"オレも、こんな時ぐらい
有給とっちゃおうかな？";"Maybe I'll go ahead and take a break
myself...";"Je pense moi-même prendre des vacances
pour y participer.";"Vielleicht sollte ich mir
einfach mal dafür frei nehmen!";
"この先の竜の山を見に行くのは
いいけれど

その先が　どうなっているか
調査中だから、中には入らないように";"You can go ahead and take a look at
Dragon Roost if you want.


They're still assessing the situation, though,
so I wouldn't go inside.";"Je comprends que tu veuilles
aller voir ce qui se passe
dans la Montagne du Dragon...

Mais nous sommes en train de l'inspecter,
tu ne pourras donc pas y pénétrer.";"Sicher kannst du zum Drachenberg
hinaufgehen, aber wie es drinnen aussieht,
wird gerade noch untersucht.
Bleib also vorerst von dort weg.";
"竜の山が安全かどうか　今、調査中だから
もう少し、待ってください";"They're still checking to see if Dragon
Roost is safe. Wait just a bit more, please.";"Nous sommes en train d'inspecter la
Montagne du Dragon pour voir
si elle est sûre.
Il va falloir que tu attendes encore un peu.";"Es wird zur Stunde noch untersucht,
ob es sicher ist, das Innere des
Drachenberges zu betreten.
Also gedulde dich bitte noch etwas.";
"あっ、ごくろうさまデス！";"Ah, I heard of your trials. Nicely done.
You must be weary!";"Tu dois être épuisé...";"Vielen Dank für alles!";
"お気をつけて";"Be careful out there...";"Fais attention à toi!";"Pass bitte auf dich auf!";
"あっ、ごくろうさまデス！";"Ah, nicely done. You must be weary!";"Te voilà!
Tu dois être épuisé...";"Vielen Dank für alles!";
"外はキケンですので
くれぐれも　気をつけて下さい";"It's dangerous out at night, so be
extra-careful.";"C'est dangereux dehors...
Fais bien attention.";"Draußen ist es ziemlich gefährlich,
also sei bitte vorsichtig!";
"あっ、親方様が言っていた子だね？


コモリ坊ちゃんはね、
ホントはいい子なんだよ・・・

親方様が忙しくて、小さいころから
寂しい思いをしても、文句１つ言わなかったし

だけど、いつも面倒をみてくれた
やさしいおばあ様がいなくなってから
自信をなくしちゃったんだよ・・・
コモリ坊ちゃんのおばあ様も、偉大な方でね


坊ちゃんがいつも持ってるキレイな玉は
実は、ヴァルー様が　おばあ様に
あげたものらしいよ・・・";"Oh, you're the fledgling the chieftain
mentioned, aren't you?


I feel as though I should tell you, despite
what he may seem like right now, young
master Komali is quite a pleasant child...

His father, the chieftain, is quite busy, but
Komali's never once complained, though I'm
sure he's been lonely at times. He's the
chieftain's son through and through.
However, his grandmother passed recently,
and Komali seems lost. His confidence is...
gone. His grandmother was always with
him, you see. A great, great woman...
That sparkling ball that the young master
keeps with him was actually a gift from the
great Valoo to Komali's grandmother.";"Ah, tu es le jeune garçon dont
le Grand-Chef m'a parlé?


Tu sais, Scaff est un bon garçon, 
dans le fond...


Mais comme son père est très occupé, 
il s'est toujours senti très seul...
Et on ne l'a jamais grondé...

Depuis que sa gentille grand'mère qui
s'occupait toujours de lui a disparu, 
il a perdu toute confiance en lui.

La grand'mère de Scaff était
une grande dame...


Il paraît que le Joyau qu'elle a donné
à Scaff lui avait été directement remis
par le vénérable Valoo...";"Oh, du musst der Junge sein,
von dem der Stammesführer erzählt hat!


Der kleine Komori ist eigentlich ein
wirklich braver Junge, musst du wissen...


Sein Vater ist ein sehr beschäftigter
Mann und Komori war oft alleine,
als er noch ganz klein war.
Dennoch hat er sich nie beschwert.
Aber seit seine Großmutter, die sich sonst
immer um ihn gekümmert hat, verstorben ist,
hat er seinen Mut und sein Selbstvertrauen
verloren...
Seine Großmutter war eine herausragende
und wichtige Persönlichkeit,


und diese Kugel, die er immer
fest umschlossen hält, war
ursprünglich ein Geschenk des
großen Valoo an seine Großmutter!";
"コモリ坊ちゃんにあったら
坊ちゃんの持っている玉のことを聞いてみな

いい話のキッカケになるかもよ


悪いね・・・
忙しくて　あまり相手　できなくて";"When you meet young master Komali, ask
him about the ball he's carrying.


That might just help break the ice.



It's a shame that I'm too busy to spend
more time with you. You seem to be a nice
enough fellow. Sorry.";"Si tu vois Scaff, demande-lui qu'il te parle
de son Joyau.


Cela te donnera un bon sujet pour 
engager la conversation.


Je suis désolé...
Je suis tellement occupé que
je ne peux pas t'aider...";"Wenn du Komori triffst, frag ihn doch nach
dieser Kugel, die er immer bei sich hat.


Bei diesem Gesprächsthema
blüht er sicherlich auf!


Tut mir Leid, dass ich nicht mehr Zeit habe
mich mit dir zu unterhalten...";
"コモリ坊ちゃん　急に元気になって
部屋まで　走っていったけど

あんな坊ちゃん見るの
久しぶりだよ・・・";"Young master Komali went running back to
his chambers. He seemed very excited.


It's been a while since we've seen him
so energized...";"Scaff s'est senti mieux tout à coup. 
Il est parti en courant dans sa chambre.


Il y avait longtemps que je ne l'avais
pas vu aussi gai.";"Komori wirkte ganz glücklich und
munter und ist wie der Wind zu
seinem Zimmer geflitzt!

So habe ich ihn schon
lange nicht mehr gesehen...";
"ヴァルー様のご機嫌が、直ったんだって？


コレで少しは、この忙しさから
解放されるかな・・・？";"The great Valoo has reverted to his
normal disposition?


Perhaps this will return things to normalcy.";"Valoo est apaisé?



Nous allons donc retrouver le calme...";"Valoos Laune soll wieder wie früher sein?



Vielleicht kann ich dann mal
wieder aufatmen und werde von
meinem Berg von Arbeit erlöst!";
"あっ、久しぶりだね


ヴァルー様のコトが解決して
楽になると思ったら・・・
今度は、本業のほうが忙しくなってね";"Ah, it's a pleasure to see you again.



I thought things would be easier once the
problems with the great Valoo were solved,
but now I find we're busy trying to catch up
on regular business issues.";"Tiens, te voilà?



Nous pensions tous que nous allions enfin
pouvoir nous reposer une fois que Valoo
irait mieux, mais maintenant nous avons
beaucoup de travail en retard à rattraper!";"Oh, lange nicht mehr gesehen!



Ich dachte glatt, es wird hier wieder
etwas ruhiger, wenn die Angelegenheit
mit Valoo erst mal ausgestanden ist,
aber da habe ich mich wohl getäuscht...
Jetzt hält mich auf einmal meine Arbeit
wieder ganz schön auf Trab!";
"ちょっと、相手できないけど
ゆっくりしていったら？";"I can't be much in the way of company, but
I hope you can stay and rest a while...";"Je dois y aller, 
mais toi, tu devrais te reposer un peu...";"Leider hab ich keine Zeit
mich mit dir zu unterhalten,
aber fühl dich hier ganz wie zu Hause!";
"久しぶりだね


夜は、配達がないんだけど・・・
中で、整理しなくちゃいけないことが
イロイロあってね！";"How nice to see you again.



There are no deliveries at night, but...
There's so much inside that needs to be
cleaned up and organized!";"Tiens, te voilà...



La nuit, nous n'effectuons aucune livraison,
mais nous avons du tri à faire à l'intérieur...";"Lange nicht mehr gesehen!



Nachts fliegen wir natürlich keine
Zustellungen aus, aber dafür gibt es
hier jede Menge zu sortieren!";
"ちょっと、相手できないんだけど
外は危ないし、ゆっくりしていったら？";"I can't be much in the way of company, but
it's dangerous outside, so why don't you sit
and stay a while?";"Je ne peux pas rester avec toi,
mais tu devrais te reposer un peu. 
Surtout reste à l'intérieur.
C'est dangereux à l'extérieur.";"Leider hab ich keine Zeit
mich mit dir zu unterhalten,
aber fühl dich hier ganz wie zu Hause!";
